Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),18-25 Estimate,18-25  95% CI (Lower),18-25  95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
1,Total U.S.,3.99%,3.83%,4.16%,7.88%,7.53%,8.25%,3.34%,3.16%,3.53%
2,Northeast,3.93%,3.64%,4.24%,8.15%,7.51%,8.85%,3.24%,2.94%,3.58%
3,Midwest,4.14%,3.88%,4.42%,8.08%,7.54%,8.65%,3.48%,3.20%,3.77%
4,South,3.86%,3.64%,4.10%,7.40%,6.94%,7.89%,3.27%,3.03%,3.53%
5,West,4.12%,3.83%,4.44%,8.25%,7.59%,8.96%,3.41%,3.10%,3.75%
6,Alabama,4.02%,3.31%,4.89%,7.76%,6.31%,9.50%,3.40%,2.65%,4.35%
7,Alaska,4.68%,3.90%,5.60%,9.97%,8.12%,12.17%,3.66%,2.89%,4.62%
8,Arizona,4.34%,3.57%,5.25%,8.06%,6.48%,10.00%,3.70%,2.91%,4.70%
9,Arkansas,4.41%,3.62%,5.36%,7.43%,5.95%,9.23%,3.90%,3.07%,4.95%
10,California,3.80%,3.39%,4.26%,7.68%,6.71%,8.77%,3.11%,2.67%,3.62%
11,Colorado,4.47%,3.72%,5.36%,8.56%,6.98%,10.46%,3.78%,3.01%,4.74%
12,Connecticut,3.49%,2.85%,4.26%,7.59%,6.06%,9.47%,2.82%,2.19%,3.63%
13,Delaware,4.03%,3.31%,4.90%,8.33%,6.75%,10.24%,3.34%,2.61%,4.27%
14,District of Columbia,4.18%,3.48%,5.02%,7.26%,5.78%,9.07%,3.54%,2.82%,4.43%
15,Florida,3.59%,3.10%,4.15%,7.33%,6.32%,8.48%,3.04%,2.54%,3.65%
16,Georgia,4.03%,3.40%,4.78%,6.92%,5.69%,8.40%,3.53%,2.85%,4.36%
17,Hawaii,3.88%,3.17%,4.73%,7.96%,6.44%,9.78%,3.25%,2.51%,4.20%
18,Idaho,4.39%,3.63%,5.29%,8.05%,6.52%,9.89%,3.76%,2.96%,4.76%
19,Illinois,3.89%,3.35%,4.51%,7.58%,6.43%,8.93%,3.27%,2.72%,3.94%
20,Indiana,4.17%,3.46%,5.02%,8.03%,6.53%,9.83%,3.49%,2.76%,4.40%
21,Iowa,3.93%,3.26%,4.74%,8.13%,6.52%,10.09%,3.18%,2.50%,4.04%
22,Kansas,4.14%,3.44%,4.98%,7.91%,6.36%,9.78%,3.45%,2.73%,4.35%
23,Kentucky,4.66%,3.84%,5.64%,7.89%,6.36%,9.75%,4.12%,3.25%,5.22%
24,Louisiana,4.19%,3.43%,5.11%,7.37%,5.94%,9.10%,3.63%,2.82%,4.66%
25,Maine,4.10%,3.34%,5.02%,8.02%,6.46%,9.93%,3.57%,2.78%,4.55%
26,Maryland,3.65%,3.01%,4.42%,7.74%,6.24%,9.56%,3.00%,2.36%,3.82%
27,Massachusetts,3.88%,3.19%,4.72%,7.62%,6.17%,9.37%,3.23%,2.52%,4.13%
28,Michigan,4.14%,3.59%,4.76%,8.35%,7.14%,9.75%,3.41%,2.85%,4.08%
29,Minnesota,4.07%,3.40%,4.87%,8.21%,6.64%,10.11%,3.41%,2.72%,4.27%
