Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),12-17 Estimate,12-17  95% CI (Lower),12-17  95% CI (Upper),18-25 Estimate,18-25  95% CI (Lower),18-25  95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
1,Total U.S.,6.64%,6.43%,6.85%,11.93%,11.48%,12.40%,9.79%,9.41%,10.19%,6.11%,5.88%,6.34%
2,Northeast,6.82%,6.42%,7.24%,11.68%,10.92%,12.49%,10.56%,9.79%,11.38%,6.21%,5.78%,6.66%
3,Midwest,6.87%,6.53%,7.24%,12.12%,11.45%,12.82%,10.23%,9.60%,10.90%,6.31%,5.93%,6.71%
4,South,6.52%,6.22%,6.84%,11.51%,10.93%,12.12%,9.09%,8.56%,9.65%,6.09%,5.75%,6.45%
5,West,6.47%,6.10%,6.86%,12.59%,11.77%,13.46%,9.94%,9.20%,10.72%,5.87%,5.46%,6.30%
6,Alabama,6.81%,5.75%,8.06%,10.97%,9.08%,13.20%,8.61%,6.92%,10.68%,6.51%,5.34%,7.92%
7,Alaska,6.73%,5.74%,7.87%,12.40%,10.27%,14.91%,11.68%,9.51%,14.27%,5.77%,4.73%,7.03%
8,Arizona,6.77%,5.68%,8.05%,13.20%,11.02%,15.72%,8.46%,6.75%,10.55%,6.48%,5.28%,7.93%
9,Arkansas,7.78%,6.60%,9.15%,12.72%,10.66%,15.12%,10.27%,8.34%,12.60%,7.36%,6.07%,8.91%
10,California,5.90%,5.37%,6.49%,12.28%,11.02%,13.67%,9.57%,8.47%,10.80%,5.24%,4.66%,5.89%
11,Colorado,7.25%,6.15%,8.52%,13.73%,11.51%,16.31%,10.47%,8.61%,12.67%,6.71%,5.50%,8.15%
12,Connecticut,6.77%,5.69%,8.04%,11.49%,9.47%,13.88%,10.28%,8.31%,12.65%,6.21%,5.05%,7.61%
13,Delaware,6.39%,5.37%,7.58%,11.47%,9.61%,13.64%,9.88%,8.10%,12.00%,5.83%,4.73%,7.17%
14,District of Columbia,6.60%,5.66%,7.69%,9.96%,8.08%,12.23%,9.92%,7.99%,12.25%,5.91%,4.89%,7.12%
15,Florida,5.95%,5.26%,6.72%,11.88%,10.52%,13.40%,8.84%,7.71%,10.12%,5.53%,4.78%,6.40%
16,Georgia,6.43%,5.52%,7.48%,10.08%,8.49%,11.94%,9.10%,7.60%,10.85%,5.96%,4.96%,7.16%
17,Hawaii,5.65%,4.68%,6.81%,9.87%,7.95%,12.17%,8.31%,6.57%,10.45%,5.24%,4.19%,6.55%
18,Idaho,7.14%,6.11%,8.33%,13.03%,10.82%,15.61%,10.94%,9.03%,13.20%,6.49%,5.36%,7.82%
19,Illinois,5.98%,5.26%,6.78%,11.20%,9.76%,12.83%,9.06%,7.71%,10.61%,5.46%,4.69%,6.36%
20,Indiana,7.89%,6.70%,9.28%,14.64%,12.29%,17.34%,12.01%,9.93%,14.45%,7.16%,5.85%,8.74%
21,Iowa,6.41%,5.38%,7.64%,11.87%,9.80%,14.30%,8.95%,7.16%,11.13%,5.96%,4.83%,7.34%
22,Kansas,7.01%,5.91%,8.29%,11.18%,9.24%,13.48%,9.83%,8.04%,11.96%,6.49%,5.27%,7.97%
23,Kentucky,7.60%,6.42%,8.96%,11.05%,9.17%,13.27%,10.31%,8.41%,12.58%,7.15%,5.86%,8.69%
24,Louisiana,6.83%,5.70%,8.16%,11.00%,9.07%,13.29%,8.42%,6.75%,10.47%,6.55%,5.30%,8.08%
25,Maine,7.88%,6.71%,9.22%,12.51%,10.42%,14.96%,12.13%,9.95%,14.71%,7.30%,6.04%,8.80%
26,Maryland,6.02%,5.08%,7.13%,11.03%,9.16%,13.23%,10.21%,8.32%,12.47%,5.36%,4.34%,6.59%
27,Massachusetts,7.29%,6.22%,8.51%,12.37%,10.25%,14.85%,11.29%,9.27%,13.68%,6.59%,5.45%,7.94%
28,Michigan,6.57%,5.83%,7.39%,11.80%,10.36%,13.41%,10.37%,8.93%,12.01%,5.92%,5.11%,6.84%
29,Minnesota,7.36%,6.24%,8.67%,12.55%,10.47%,14.96%,9.83%,7.97%,12.07%,6.97%,5.74%,8.44%
30,Mississippi,5.88%,4.92%,7.00%,11.08%,9.11%,13.41%,8.02%,6.40%,10.01%,5.49%,4.45%,6.75%
31,Missouri,6.62%,5.59%,7.82%,11.49%,9.60%,13.70%,9.67%,7.81%,11.91%,6.11%,4.98%,7.47%
32,Montana,6.92%,5.83%,8.19%,11.42%,9.45%,13.73%,9.29%,7.55%,11.39%,6.53%,5.32%,7.98%
