Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
1,Total U.S.,4.04%,3.89%,4.20%,8.57%,8.21%,8.94%,3.30%,3.13%,3.47%
2,Northeast,4.03%,3.73%,4.36%,8.81%,8.12%,9.54%,3.26%,2.94%,3.62%
3,Midwest,4.14%,3.88%,4.42%,8.66%,8.07%,9.29%,3.38%,3.11%,3.68%
4,South,3.84%,3.61%,4.08%,8.06%,7.54%,8.61%,3.15%,2.91%,3.40%
5,West,4.30%,4.00%,4.61%,9.09%,8.40%,9.83%,3.48%,3.17%,3.82%
6,Alabama,3.57%,2.87%,4.43%,7.27%,5.72%,9.19%,2.96%,2.26%,3.88%
7,Alaska,5.15%,4.25%,6.23%,11.76%,9.62%,14.30%,3.94%,3.05%,5.09%
8,Arizona,4.01%,3.29%,4.88%,8.92%,7.18%,11.03%,3.18%,2.47%,4.09%
9,Arkansas,4.47%,3.63%,5.49%,8.60%,6.89%,10.68%,3.78%,2.93%,4.87%
10,California,3.96%,3.54%,4.43%,8.54%,7.51%,9.70%,3.17%,2.73%,3.66%
11,Colorado,4.88%,4.01%,5.94%,9.56%,7.70%,11.81%,4.10%,3.21%,5.23%
12,Connecticut,3.76%,2.99%,4.72%,8.56%,6.77%,10.78%,2.98%,2.22%,3.99%
13,Delaware,4.35%,3.51%,5.39%,9.13%,7.37%,11.27%,3.62%,2.77%,4.72%
14,District of Columbia,4.22%,3.43%,5.18%,7.93%,6.28%,9.98%,3.46%,2.67%,4.46%
15,Florida,3.34%,2.88%,3.88%,8.12%,7.03%,9.36%,2.67%,2.19%,3.25%
16,Georgia,3.94%,3.27%,4.74%,7.02%,5.70%,8.63%,3.41%,2.72%,4.28%
17,Hawaii,3.79%,3.05%,4.69%,8.99%,7.19%,11.20%,3.03%,2.30%,3.98%
18,Idaho,4.84%,3.99%,5.86%,9.36%,7.57%,11.53%,4.08%,3.21%,5.17%
19,Illinois,3.89%,3.32%,4.54%,8.45%,7.13%,9.97%,3.14%,2.56%,3.84%
20,Indiana,4.58%,3.75%,5.58%,9.12%,7.36%,11.24%,3.78%,2.94%,4.85%
21,Iowa,3.94%,3.19%,4.86%,8.74%,7.02%,10.82%,3.08%,2.35%,4.03%
22,Kansas,4.72%,3.87%,5.74%,9.34%,7.48%,11.61%,3.88%,3.03%,4.96%
23,Kentucky,5.08%,4.17%,6.18%,9.36%,7.51%,11.62%,4.38%,3.44%,5.56%
24,Louisiana,4.24%,3.46%,5.19%,7.78%,6.18%,9.75%,3.64%,2.84%,4.67%
25,Maine,3.74%,2.96%,4.73%,7.68%,6.04%,9.71%,3.22%,2.42%,4.26%
26,Maryland,3.82%,3.11%,4.69%,8.23%,6.63%,10.18%,3.13%,2.42%,4.04%
27,Massachusetts,3.97%,3.22%,4.88%,8.49%,6.75%,10.62%,3.19%,2.45%,4.14%
28,Michigan,3.91%,3.36%,4.56%,8.35%,7.12%,9.77%,3.16%,2.59%,3.86%
29,Minnesota,4.15%,3.39%,5.08%,8.79%,7.04%,10.93%,3.41%,2.66%,4.38%
30,Mississippi,3.78%,3.05%,4.67%,7.72%,6.15%,9.65%,3.08%,2.35%,4.03%
