Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
1,Total U.S.,6.70%,6.49%,6.91%,12.63%,12.19%,13.08%,10.59%,10.17%,11.01%,6.06%,5.83%,6.30%
2,Northeast,6.80%,6.40%,7.23%,12.13%,11.35%,12.96%,11.08%,10.31%,11.91%,6.11%,5.66%,6.59%
3,Midwest,6.89%,6.55%,7.26%,13.53%,12.80%,14.30%,11.01%,10.36%,11.70%,6.20%,5.82%,6.62%
4,South,6.60%,6.30%,6.91%,11.90%,11.30%,12.53%,9.91%,9.38%,10.47%,6.05%,5.72%,6.40%
5,West,6.61%,6.24%,7.00%,13.32%,12.50%,14.19%,10.89%,10.15%,11.68%,5.88%,5.47%,6.32%
6,Alabama,6.66%,5.65%,7.84%,11.18%,9.34%,13.32%,9.99%,8.23%,12.09%,6.12%,5.01%,7.45%
7,Alaska,7.39%,6.30%,8.66%,15.22%,12.75%,18.08%,12.85%,10.78%,15.26%,6.40%,5.22%,7.81%
8,Arizona,6.03%,5.00%,7.26%,11.68%,9.63%,14.09%,8.61%,6.93%,10.65%,5.60%,4.47%,6.99%
9,Arkansas,8.13%,6.91%,9.54%,13.05%,10.95%,15.49%,10.60%,8.75%,12.79%,7.72%,6.36%,9.34%
10,California,6.04%,5.48%,6.64%,12.93%,11.67%,14.31%,10.65%,9.53%,11.88%,5.23%,4.63%,5.91%
11,Colorado,7.62%,6.54%,8.86%,14.59%,12.28%,17.26%,12.66%,10.44%,15.27%,6.78%,5.61%,8.17%
12,Connecticut,6.84%,5.77%,8.08%,12.52%,10.40%,15.00%,11.73%,9.68%,14.15%,6.05%,4.89%,7.46%
13,Delaware,6.52%,5.46%,7.78%,11.94%,9.94%,14.27%,10.34%,8.51%,12.52%,5.94%,4.79%,7.34%
14,District of Columbia,7.28%,6.24%,8.48%,9.91%,8.12%,12.03%,11.88%,9.65%,14.54%,6.34%,5.24%,7.64%
