Order	State	18 or Older Estimate	18 or Older 95% CI (Lower)	18 or Older 95% CI (Upper)	18-25 Estimate	18-25 95% CI (Lower)	18-25 95% CI (Upper)	26 or Older Estimate	26 or Older 95% CI (Lower)	26 or Older 95% CI (Upper)
1	Total U.S.	4.19%	4.03%	4.35%	9.64%	9.22%	10.08%	3.31%	3.14%	3.48%
2	Northeast	3.99%	3.68%	4.32%	9.50%	8.79%	10.26%	3.11%	2.79%	3.46%
3	Midwest	4.35%	4.08%	4.63%	9.98%	9.37%	10.62%	3.41%	3.13%	3.72%
4	South	4.03%	3.81%	4.27%	9.24%	8.71%	9.81%	3.20%	2.96%	3.46%
5	West	4.45%	4.13%	4.80%	10.07%	9.31%	10.89%	3.52%	3.19%	3.89%
6	Alabama	3.89%	3.16%	4.78%	8.71%	7.05%	10.73%	3.11%	2.36%	4.08%
7	Alaska	5.34%	4.40%	6.46%	13.26%	10.91%	16.02%	4.01%	3.08%	5.20%
8	Arizona	4.02%	3.23%	4.99%	9.28%	7.47%	11.47%	3.15%	2.36%	4.19%
9	Arkansas	4.59%	3.78%	5.57%	9.83%	8.00%	12.01%	3.73%	2.91%	4.78%
10	California	4.04%	3.58%	4.55%	9.68%	8.53%	10.97%	3.09%	2.62%	3.63%
11	Colorado	5.41%	4.44%	6.58%	11.25%	9.18%	13.73%	4.46%	3.46%	5.74%
12	Connecticut	4.05%	3.27%	5.01%	10.03%	8.13%	12.30%	3.08%	2.30%	4.11%
13	Delaware	4.16%	3.41%	5.07%	9.61%	7.84%	11.73%	3.35%	2.59%	4.33%
14	District of Columbia	4.11%	3.35%	5.02%	8.55%	6.87%	10.61%	3.24%	2.48%	4.24%
15	Florida	3.49%	3.01%	4.04%	9.38%	8.16%	10.75%	2.69%	2.20%	3.27%
16	Georgia	4.38%	3.67%	5.23%	8.73%	7.29%	10.41%	3.65%	2.91%	4.58%
17	Hawaii	4.08%	3.25%	5.10%	10.08%	8.17%	12.39%	3.26%	2.41%	4.38%
18	Idaho	5.60%	4.62%	6.78%	10.59%	8.67%	12.86%	4.78%	3.75%	6.07%
19	Illinois	3.87%	3.31%	4.51%	9.33%	7.93%	10.96%	2.98%	2.43%	3.67%
20	Indiana	5.04%	4.16%	6.08%	11.05%	9.00%	13.48%	3.99%	3.11%	5.11%
21	Iowa	4.69%	3.87%	5.66%	10.58%	8.70%	12.80%	3.64%	2.80%	4.72%
22	Kansas	4.87%	4.01%	5.90%	10.29%	8.38%	12.58%	3.90%	3.02%	5.02%
23	Kentucky	4.71%	3.88%	5.72%	10.47%	8.59%	12.71%	3.78%	2.93%	4.87%
24	Louisiana	4.25%	3.46%	5.21%	8.07%	6.46%	10.05%	3.62%	2.79%	4.68%
25	Maine	3.99%	3.25%	4.89%	9.98%	8.19%	12.12%	3.19%	2.44%	4.17%
26	Maryland	4.00%	3.26%	4.90%	9.04%	7.35%	11.08%	3.23%	2.47%	4.21%
27	Massachusetts	4.57%	3.75%	5.57%	10.07%	8.20%	12.32%	3.63%	2.78%	4.72%
28	Michigan	3.99%	3.44%	4.62%	9.33%	8.04%	10.80%	3.10%	2.54%	3.77%
29	Minnesota	4.52%	3.74%	5.45%	10.17%	8.30%	12.39%	3.63%	2.85%	4.62%
30	Mississippi	4.01%	3.24%	4.94%	8.54%	6.91%	10.52%	3.22%	2.44%	4.23%
31	Missouri	4.04%	3.32%	4.90%	9.75%	7.94%	11.91%	3.11%	2.39%	4.04%
32	Montana	4.91%	4.04%	5.96%	11.26%	9.24%	13.65%	3.90%	3.04%	5.00%
33	Nebraska	4.05%	3.30%	4.96%	9.21%	7.41%	11.40%	3.13%	2.38%	4.11%
34	Nevada	4.62%	3.72%	5.72%	10.40%	8.37%	12.86%	3.78%	2.88%	4.95%
35	New Hampshire	4.89%	3.99%	5.97%	10.87%	8.83%	13.31%	3.97%	3.06%	5.13%
36	New Jersey	3.41%	2.80%	4.14%	9.14%	7.55%	11.04%	2.56%	1.95%	3.35%
37	New Mexico	4.01%	3.25%	4.95%	8.78%	7.06%	10.87%	3.23%	2.44%	4.26%
38	New York	3.68%	3.19%	4.25%	9.22%	8.02%	10.58%	2.79%	2.27%	3.41%
39	North Carolina	4.57%	3.86%	5.40%	9.67%	8.09%	11.53%	3.77%	3.02%	4.68%
40	North Dakota	4.57%	3.77%	5.52%	10.07%	8.21%	12.30%	3.43%	2.65%	4.44%
41	Ohio	4.56%	3.95%	5.25%	10.09%	8.74%	11.62%	3.68%	3.05%	4.44%
42	Oklahoma	4.10%	3.34%	5.03%	9.03%	7.22%	11.23%	3.25%	2.48%	4.26%
43	Oregon	5.18%	4.26%	6.29%	11.01%	9.06%	13.32%	4.32%	3.37%	5.52%
44	Pennsylvania	4.28%	3.69%	4.97%	9.30%	7.96%	10.85%	3.51%	2.89%	4.26%
45	Rhode Island	4.78%	3.92%	5.81%	10.62%	8.65%	12.97%	3.73%	2.89%	4.81%
46	South Carolina	4.11%	3.35%	5.04%	9.27%	7.56%	11.32%	3.31%	2.54%	4.31%
47	South Dakota	4.40%	3.62%	5.33%	9.85%	8.07%	11.97%	3.48%	2.68%	4.50%
48	Tennessee	4.50%	3.67%	5.49%	9.29%	7.54%	11.39%	3.74%	2.89%	4.83%
49	Texas	3.72%	3.28%	4.21%	9.31%	8.13%	10.64%	2.72%	2.27%	3.24%
50	Utah	5.99%	5.00%	7.17%	12.23%	9.97%	14.90%	4.60%	3.61%	5.86%
51	Vermont	5.31%	4.35%	6.45%	11.29%	9.08%	13.96%	4.27%	3.30%	5.51%
52	Virginia	4.20%	3.52%	5.02%	9.26%	7.75%	11.03%	3.40%	2.69%	4.29%
53	Washington	5.06%	4.13%	6.20%	10.08%	8.21%	12.34%	4.30%	3.33%	5.53%
54	West Virginia	4.75%	3.87%	5.81%	10.01%	8.16%	12.21%	3.99%	3.07%	5.16%
55	Wisconsin	4.60%	3.77%	5.59%	10.87%	8.94%	13.16%	3.57%	2.74%	4.63%
56	Wyoming	4.39%	3.60%	5.35%	10.57%	8.69%	12.81%	3.41%	2.63%	4.42%
