"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","294940","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","295336","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","296624","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","296046","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","295204","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","295970","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","296441","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","297222","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","300300","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","304842","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","305412","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","304961","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","302802","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","299194","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","294541","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","293552","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","293904","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","293581","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","293554","."
"Both Sexes","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","","P","5654426","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","47936","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","47501","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","47176","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","47437","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","47610","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","48257","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","48929","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","49441","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","50219","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","51119","."
"Both Sexes","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","53122","."
