"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","150513","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","150699","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","151410","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","150856","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","150594","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","150699","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","150960","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","151442","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","153128","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","155061","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","155463","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","155268","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","154599","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","152638","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","150088","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","149646","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","149737","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","149225","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","149374","."
"Males","All Races","Alabama","Both","00-04 yrs","1999","2017","Suicide Injury","","P","2881400","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","24594","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","24358","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","24333","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","24462","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","24720","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","24908","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","25326","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","25530","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","25975","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","26351","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","27449","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","27896","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","28507","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","28389","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","28461","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","28335","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","28190","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","27941","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","27625","."
"Males","All Races","Alaska","Both","00-04 yrs","1999","2017","Suicide Injury","","P","503350","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","192391","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","196881","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","201570","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","206949","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","212369","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","219468","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","227461","."
